delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
17454,35323,14913,4802,8128,4354,4095,1785
20339,60627,9501,31324,26964,7958,2610,2778
41438,21917,5794,6120,2196,1428,481,512
1143,25193,9339,11038,4233,4185,2423,3981
7294,5406,3801,3234,8253,5002,2610,3711
33881,25467,9458,2184,1680,1449,976,1512
15407,17863,73737,10441,16657,10073,9887,3674
139854,64495,21789,1930,24893,10213,5234,2561
101079,29760,627,1860,4463,3743,658,457
10643,9264,12147,9982,7852,7129,4767,3115
83053,31073,14278,5232,7456,7249,6955,3869
17243,18652,8259,9767,7951,8527,5096,3253
19102,20476,9158,3004,5555,4609,6401,6434
110679,151305,7073,22726,10052,3596,3362,2867
46033,77972,58767,17598,6462,5567,6545,2337
55211,22739,5905,12561,3068,8014,1078,1892
91625,10407,763,3023,4975,936,246,594
335943,71476,48632,10064,11359,16461,3764,3684
23480,32698,27483,7261,8388,5108,2188,2828
158910,17284,4037,3064,2114,2862,542,163
33399,42126,60756,54649,20247,7515,3119,2263
35097,53317,4683,8345,1728,7680,3774,2292
814981,376618,23263,26864,17289,17182,4953,3460
84660,286143,2473,2035,6350,2980,1337,1579
939875,192433,38604,33845,11610,9577,8787,4953
41742,33322,44999,27661,6596,3549,2917,1226
22344,81365,27428,10001,7923,8471,5703,1819
6109,31431,58952,9447,9397,12291,3764,1346
6698,19648,22742,2949,6665,4312,2970,1585
45685,17572,4735,8894,5967,6559,2866,3837
39604,18266,25058,19895,27867,6212,6020,2097
92821,68971,21556,19921,12517,7219,7461,2234
6840,18579,8473,8624,4889,7696,6436,2622
36723,61592,7618,10689,16753,7476,2703,2825
144014,55285,54087,26526,13545,10710,5655,4276
145224,150886,11215,9632,4881,2446,1673,865
289767,67368,12788,13066,4329,2129,747,744
16695,15644,17867,18175,8823,3287,3895,2113
20111,28711,5599,8404,6471,3909,3246,1180
188507,6638,13665,6239,5126,1832,582,1269
86816,44565,20678,4959,5870,15547,5838,2000
25115,9211,6816,2280,4757,4370,2558,1536
24029,11116,2727,8853,6479,5409,4072,2560
9922,17300,4832,10009,7693,8515,3200,1574
330578,166939,38144,5213,14900,7473,5019,2687
1024940,171968,27168,9368,6808,3933,3000,3333
77787,133175,91535,10477,13551,10683,1062,1780
35698,41607,26947,3506,5820,4491,2731,2405
47268,9996,29521,6401,9543,11832,2757,2170
1056436,295243,61952,9569,6867,13180,4565,5927
49497,39248,32316,9564,19149,11432,2213,2453
64358,144080,1654,8190,12596,6927,3612,1685
1447351,30573,27692,3160,13619,9353,4792,5785
23188,81624,14621,8614,16588,12094,1608,2374
72487,46413,19498,23950,8588,5737,4100,4415
25057,33223,69762,5594,3551,6624,2771,2617
23092,13926,45096,10715,5497,11505,1903,1351
35646,36599,4151,8333,7515,7676,1207,3117
49666,15718,13717,8442,5361,6478,1433,2909
36667,15621,3486,4484,2833,6396,5773,2566
43861,24350,3699,5314,3576,4486,2722,2242
12649,17062,13626,4347,15556,7456,6441,1981
14040,15906,22967,8173,7940,6405,2068,2982
171034,34777,4719,3077,1437,1617,719,134
2124,17198,7112,11121,3528,6184,2983,3388
12739,14965,28245,5001,4870,9807,3599,1264
64243,46762,11410,23234,6397,8368,6706,3734
558705,84865,1878,5077,1795,1544,2210,839
137553,234693,37258,23534,20091,21012,3729,7518
60095,108791,19705,50321,9698,8792,4573,1791
93509,64110,4664,5646,1074,2152,811,1587
59410,32210,6457,11684,22753,5576,1670,1988
367058,308017,13301,14260,5730,3140,4505,1528
560902,15219,2710,860,2581,1699,776,601
440641,85423,1129,10370,2507,2000,387,456
16733,33822,6061,4947,9755,6210,3321,3286
63198,13184,95822,16178,9709,7800,2348,1144
31222,10727,30914,12293,13543,7798,4118,1177
28188,5806,10029,4105,5310,19299,2911,1666
17091,25189,23688,10298,7233,5480,1476,1604
7654,19952,10951,6586,9331,8558,7106,1322
119922,11954,6812,2892,6219,2436,745,369
120608,32110,6764,7409,4274,1637,954,1067
126916,34597,4083,5051,6440,6248,2983,2112
12038,20249,7593,10495,12521,10321,4324,1855
15408,49237,31784,4184,4542,6116,1410,1439
8703,23447,10768,4976,4578,5453,3364,3559
140580,1948,2992,1594,677,508,75,358
1506594,386367,109918,23279,19498,27519,4779,7099
221403,40724,41189,3404,3281,7498,689,454
17351,11912,31478,5074,14040,6283,4330,2935
22465,30348,49593,20835,10730,3345,3309,2969
54687,6227,5038,611,2086,1666,1411,183
65380,28179,11523,3716,5789,3910,4084,1790
853573,81286,18527,12138,9950,3980,3103,1088
9048,42052,1410,8961,4001,3397,4010,1116
4410,6789,8507,5913,2919,4346,1800,1226
37326,17729,10178,6807,7584,5961,1473,1953
26023,3769,13077,3644,6205,3022,2623,1704
17256,32765,1721,4393,3247,5274,8686,1716
297008,64936,5483,14952,8440,9119,1984,2058
994573,57233,6364,4798,7494,5406,810,861
16311,25871,5223,1028,4699,8386,3770,2822
324838,117619,6467,5902,3370,6351,2292,1509
581694,176454,74014,8628,11950,17938,5994,3598
87219,8515,2482,733,1064,1981,593,333
61509,18934,3156,33142,10790,18870,3066,3427
63939,30087,5857,15577,24586,18617,4947,6436
284778,78429,29857,40687,5563,14276,4632,2607
124388,17919,3048,7307,1766,3271,2292,1647
136411,21219,4732,9404,3788,5755,2509,4853
65561,37115,4802,1713,4833,4195,1301,1490
110471,9857,5761,2772,5556,3988,2720,1291
72617,8057,10075,4097,7176,6229,3191,3229
201267,233191,26886,8765,4224,4691,1381,3289
88795,76052,49947,15393,16620,4958,2974,2455
70725,16507,6899,22821,31608,13406,5135,1659
15635,17820,13999,9977,3311,6044,4764,2093
23914,45792,20856,10611,6378,5650,4532,2928
32646,28077,27261,12726,8167,5242,3932,3033
145983,127537,86743,6065,14165,9767,4853,1813
67231,52250,8557,18243,2792,2611,1841,1568
9954,26629,6855,14991,3936,4428,2043,2462
24391,18773,26103,2429,3724,4106,3044,1287
17515,64054,3938,6620,9807,5240,1981,2803
176471,18050,9236,11471,3917,2794,1787,691
504608,72721,5739,5349,3260,3292,1169,1746
26515,16343,10050,6447,2860,8388,1923,5166
202537,21875,11710,3512,1239,1923,820,378
715472,67017,25013,7141,5826,4703,2490,5239
50480,14771,34306,4792,10187,8166,4051,5908
327970,38997,5311,5090,1927,891,1069,487
322406,310410,55379,29269,11667,14067,2988,6291
25276,23809,23890,2295,4219,7192,3747,2389
32364,37549,14807,8490,4458,3705,4840,3364
55988,20181,26115,4567,5908,5487,3682,1084
502968,198600,85689,34287,14871,20558,6869,2526
473403,51330,8596,1010,4031,2156,1236,501
30339,50145,60700,17568,6082,10523,6834,2256
477235,27538,59181,9657,22355,3882,3253,3526
1273236,521913,12466,30264,14125,9981,6498,2496
306570,93704,39570,6889,15531,8981,4971,3437
315312,38151,11754,3914,1258,2543,518,786
19622,9685,17823,8621,13469,10454,3298,3432
18167,16880,21870,6515,4314,5514,1252,1986
16330,22866,53132,7220,6498,6687,5659,1939
1803749,484250,105113,56057,14822,21087,5731,4502
1410250,286140,7014,6940,7755,11371,4431,4453
22104,44536,10732,6105,7539,2255,1315,831
11861,26945,31741,10008,11836,12924,3376,1757
24839,30680,11623,33649,5528,6001,4950,1641
2950317,440554,35611,6897,23931,12278,4548,2803
115307,20149,6386,7277,7845,9288,4745,4715
45727,55592,25519,34552,5551,15918,2201,1068
72338,28876,3798,8869,920,1748,535,825
92272,34055,1315,4686,3350,7709,1624,1532
242581,15384,3176,3696,4852,3498,1875,1675
144290,48883,5444,3161,6930,4813,1411,597
14245,3821,8615,3070,10417,2839,1809,3150
716970,289702,44936,13475,13623,14697,2376,1265
189646,13952,821,5558,5073,4344,2041,767
118849,48691,3801,7625,4101,4586,1921,1751
82715,55033,22284,10883,20158,5395,4148,1580
183315,12113,1144,1502,692,441,427,161
1003202,477503,91147,15739,9976,17118,4002,5004
980853,119794,32589,15714,6818,4557,2082,1592
59445,28232,14249,5991,3238,7671,3292,1106
14378,6949,10983,6176,32505,6651,3854,1800
66765,25877,21633,6606,4989,4001,2495,3097
139228,8637,1322,1257,993,464,174,500
589993,337633,27550,34372,27406,8274,4474,4657
811729,200337,29088,31940,18725,13288,5847,2814
742655,154384,37273,20546,13350,4872,4166,2716
17109,50380,15264,4320,8224,15020,3584,3435
1258878,62763,19008,16338,16423,17381,12398,4871
78465,50731,70176,27160,31746,9125,4460,4258
106042,244763,37987,20180,11703,9135,6715,2849
161143,378622,38132,27332,9280,8275,7660,6248
297417,130593,27039,58765,61887,9612,3879,4146
59318,19689,24287,6890,6518,6968,3540,2470
22267,16325,2646,12227,5882,5483,3943,2703
33891,32113,6166,3348,1609,1813,887,2531
276464,118838,18501,14441,11627,21391,6899,3294
18206,48294,14158,6027,4893,4807,4608,2517
377708,156171,3825,1261,8818,7307,2877,5267
113919,70421,1017,3070,3640,1296,1137,770
598817,133740,15830,2435,15742,7952,2338,2913
221065,139334,20420,10572,8097,21976,4771,2395
34644,153195,20151,14520,6288,16633,4181,1550
324974,46386,9526,3666,6666,2698,1340,690
82514,30035,39881,1799,7532,5322,5944,1941
357209,352434,20780,27048,7416,10250,2789,2294
95157,49759,12713,9452,13813,5280,4728,4087
47061,81348,22658,7757,4019,2270,6161,4039
1691,67048,614,22572,9039,4012,6221,1291
1534127,624794,7330,15783,8318,12569,5622,2618
260607,237077,15977,11053,6407,13354,4142,3704
29444,63795,39541,4606,5386,15555,3231,2628
12365,24741,15556,16490,5480,6085,9112,2597
219186,18017,1915,5362,1247,3464,937,2398
13003,36561,8096,8874,6028,8112,3647,2524
1435611,48530,25628,10324,2060,8249,3455,2435
140361,90638,33879,7799,2833,4411,3155,3004
253734,28803,2595,2212,2568,2596,2653,716
7245,3491,11717,2075,10168,7502,2653,3245
11539,13131,16820,15110,5887,5046,3364,1637
12659,17288,13435,1555,2996,5078,1700,2847
266288,28172,1935,3651,1564,1071,1268,705
15476,6018,28492,5762,4593,6843,3151,936
37381,30052,5384,15311,17403,14973,9000,3729
77677,29335,18297,4162,6709,3454,1649,707
72803,10998,3266,456,2861,1557,609,203
224314,11534,2006,904,1003,646,356,222
16170,4414,26887,6374,5008,9856,5587,2051
182938,87009,1320,34065,21555,19566,12316,5895
1214460,162930,81320,64076,26922,13128,7567,17381
739810,283323,4865,5556,14291,6932,4320,5790
409860,68804,10682,2586,3831,5771,1768,2430
96327,32261,40508,31362,12049,14647,6574,11996
55236,28021,1523,12628,3106,1859,3573,1023
4642,7407,19662,5645,11669,10075,7413,3845
556408,26484,1384,50375,5128,13632,3510,7344
114855,19893,2874,2320,822,625,251,447
263013,32105,11735,81199,1254,7467,5354,5824
7782,33079,43815,33925,4632,7923,4718,5036
179580,73807,22044,43056,2773,4686,4066,3091
2310109,328308,29826,58142,16638,7375,5381,4177
23740,7893,20191,18505,7534,3646,3869,2009
46730,23854,5259,4212,5272,1948,1406,1183
514061,84051,22263,6704,37716,30723,13863,7383
97145,56370,7007,21328,3206,14631,5162,7308
45849,16692,1725,1141,460,199,381,186
38342,5343,17808,42207,3539,17575,3111,2103
33748,10122,42505,4490,13553,13394,4961,4536
13169,7182,18991,63162,8254,12170,4051,3010
524127,251334,19692,11808,3634,7014,5663,1371
238017,29327,13236,35187,14553,30403,8640,3266
162041,28758,5278,2940,6479,4344,2325,1698
117682,31651,1220,7003,3514,1889,805,730
1777340,198244,64962,36811,14625,19939,5999,2833
1623160,127680,21969,41826,11868,8219,5058,1915
10524,27649,7654,28524,27404,6940,4907,1672
42737,69546,11397,13082,9434,5836,4718,2159
1505450,288724,21222,34422,10728,11661,3210,3507
125502,117960,2112,8833,18754,5509,2879,2042
13704,53665,41895,7809,5968,7592,1867,1657
448444,33822,4040,3765,7459,8196,8103,1098
660535,151424,21176,43950,15834,19620,14983,3211
21404,26366,5457,26529,6302,7465,6247,3666
49288,112697,9619,26847,33128,16709,3822,5470
19298,6533,25714,17887,6892,3041,3130,5426
41360,20620,36781,14841,6645,3100,4770,4288
6487,6738,4632,29938,5904,6420,2809,2395
9505,15728,7207,8511,3404,5839,3295,2539
47185,59448,5216,16100,13035,5221,3430,1975
46151,8346,20075,19101,8715,6972,7972,1724
5420,15585,1280,14326,3805,2665,3688,2875
1030686,529131,38210,132012,72330,34493,17935,12476
1175543,239879,130451,88370,43034,10741,9102,9704
810724,472204,11948,166477,24709,17704,6165,4602
118046,74018,10133,6821,6289,4750,8129,2162
162333,138282,16631,43583,9358,7926,5455,7634
382463,13389,2497,2911,4119,1641,1364,1111
116479,37932,4087,20359,6703,3455,1549,1176
1497742,61538,15360,17755,7267,10542,3252,2453
108538,46212,16667,37232,5051,8815,4133,9584
13293,66117,5421,35325,16765,10252,17057,3186
26443,19555,24520,6329,9015,8726,7969,3767
19254,20371,16215,1596,8803,5816,2957,7420
87667,36852,15954,13828,9053,4833,5988,5737
196163,16706,4405,7610,2627,3447,1238,854
18720,41901,4951,8349,10745,5807,2109,3981
18808,8333,1694,25125,8781,6205,8893,3247
43389,28846,5641,17679,3039,1887,1518,1209
135051,14813,29071,6687,3977,6919,1380,1469
119341,6483,1412,2986,2285,3457,1449,1194
16100,39914,7730,5960,3285,4575,3445,3555
213892,18741,6185,1583,2125,2196,1712,393
81098,43317,19677,22033,13464,5011,4898,4856
21489,19715,6811,3157,1157,1804,996,1051
38998,42731,7043,8867,23048,5993,4606,3019
1813452,327875,940,31431,19261,9461,5441,5375
534531,106122,16818,7572,21164,12056,8192,3334
37135,17121,7372,3000,3745,9251,6228,2655
12543,26731,12411,9237,3858,10469,7475,2916
3591,18067,22757,41286,6978,8858,6826,4368
21145,16911,4556,4585,9867,6925,4726,3834
20749,15364,17110,3655,4141,5388,1943,4362
23261,14646,31867,8650,3833,10711,3632,3177
505542,128985,7492,4654,10934,8054,5999,4135
7707,15013,69921,13261,3353,3235,3222,1435
14587,13269,13368,3043,10961,4933,2047,1713
152809,38688,1939,6408,3182,2188,796,525
101051,52680,21326,64217,7137,3846,2542,2925
10390,19111,6210,14845,12314,4343,2936,4462
71609,62325,45458,36791,11550,12345,5121,1721
332348,3167,303,1366,1060,315,264,254
14721,14475,18651,38866,10825,9354,2544,4314
9116,19042,26845,3730,4732,3586,2487,3064
20995,5589,1922,19056,3169,4389,1089,2700
78740,34049,6650,19937,4392,7989,4417,3379
1075448,448217,182947,31128,37993,19648,7508,3399
75236,34553,37518,20266,13875,10487,2682,4608
630258,242333,108175,63275,25095,14863,4437,4134
173477,47819,1880,3144,3928,4364,2173,647
1328308,106668,31930,18595,20830,24742,3135,2731
14240,7282,15672,3174,3824,7670,2745,3834
12891,27665,85655,6293,6978,12501,3422,3998
6852,9242,1175,19267,3739,3692,1215,1889
6350,43921,7331,9793,10804,10013,1977,2965
267043,62602,19728,6357,1516,1158,1223,1019
13223,1661,5104,2271,9051,3849,8435,1824
447462,10137,9169,7454,3667,4134,807,1034
28174,6544,1363,2312,811,733,740,252
13058,36985,10133,11605,18653,5205,5127,5845
39986,23906,34744,8060,10460,9237,3047,2055
13785,21642,15932,6474,4746,8344,4897,2176
4272,7933,19836,28746,3991,4994,2539,1676
10286,18026,8582,9034,2632,10010,4325,2044
25726,18842,28796,11145,7182,3174,2089,5690
129685,163152,2688,5598,10250,3802,6561,3567
62844,33779,8335,24408,4008,5299,4700,6286
11965,43986,29138,25819,4163,10213,13459,7659
41669,45841,3275,29719,7385,7154,3267,4343
340268,29917,1248,11745,4134,4147,605,656
239941,17062,2755,1736,1787,1308,1518,903
27026,30887,25394,14687,6061,3472,3984,2465
65729,24644,1749,9760,4540,8568,2665,3094
67685,23290,8657,3425,1798,843,806,818
16528,21859,2285,3114,15764,4631,3830,1937
46243,8855,5243,3204,770,462,905,1036
33127,44956,8113,78510,5462,2854,2118,676
10168,60351,26859,45454,15774,8907,6376,1905
13509,24887,31606,49413,25663,4434,4142,3465
18116,18105,17822,11331,9509,4531,3062,2183
817361,219937,33518,22360,11161,9181,8135,3035
114447,113280,27571,17237,14075,11486,7647,7410
584968,60760,50484,36272,9639,6473,3623,8578
862521,204770,62112,59177,23048,33850,18060,3900
21756,19544,3132,24103,9604,11684,6996,7250
86259,94071,40681,12721,12153,11026,3337,7321
100913,86077,13288,4587,6338,2892,768,1574
12843,51710,118548,7644,8937,6630,2974,3425
106388,63132,4158,11260,3881,2887,1603,1284
393658,223106,9812,23913,20976,12836,4527,3935
23535,49909,67862,38518,19783,11216,1823,1609
76551,9687,62179,7233,3713,2752,1269,643
86711,34486,25809,28069,8066,7700,6211,3089
662343,181280,43179,61010,17629,15311,8410,7221
100524,53615,91371,32772,12123,9810,6034,4718
179992,20509,52680,10441,3835,14784,7062,2457
111163,109805,23074,4211,6357,4971,1602,763
384906,33039,18250,18119,4922,8952,4323,8403
59044,46235,18193,32154,17557,6786,4541,2163
11586,62265,23483,21931,6366,4759,4733,3436
106889,8710,466,1143,1194,2338,2118,1283
176442,58980,33825,37568,8592,6685,4925,3029
90194,12707,14132,28301,12656,8166,5584,3084
100343,55766,18120,18348,15764,19004,5800,909
2462918,404065,111552,97569,22558,39723,26410,33687
94301,40080,12381,15213,5217,2684,2703,2451
67204,217352,68757,8259,24913,37768,17470,14911
74981,19617,3068,1681,3816,1957,1199,1737
254471,48575,8740,33705,12061,8817,4214,7842
848100,63112,11490,5141,9877,7947,4840,4148
207950,9675,8888,13678,10227,10079,7700,9457
216176,49924,21054,7862,4502,1567,2757,2158
44370,63189,14321,17107,13149,6713,4142,5376
575515,61238,6658,13917,23411,10164,11016,3293
170279,503987,40415,13234,44036,15704,11884,6466
228222,30778,2753,12123,9023,3427,2895,2288
431824,79476,16014,8222,8395,3063,1136,1034
125557,87834,39814,66662,4970,9089,7182,4581
81828,9799,7091,4736,1954,2926,529,1275
7278,18312,21594,17876,6882,2040,3349,1831
13339,25730,5144,6785,6960,8383,11148,5668
33000,12386,6040,2976,7483,7797,7875,6447
29065,28454,6016,4522,1172,6322,1539,1923
16655,17408,16780,13871,9282,2557,1887,1617
19030,18405,13851,17722,7400,3079,5138,2221
162746,20739,1811,1724,1668,1727,1564,1377
445450,32234,9277,2941,1972,11936,2351,2740
16923,29420,19800,24097,16332,11640,5349,5251
151718,206578,6858,16729,19540,11986,5856,2920
562753,270041,116705,5219,30956,12392,3213,1926
528742,60666,122994,37975,14805,11212,5113,4520
55108,5566,5254,19473,26084,13203,4532,936
65938,39763,48560,12883,5891,5554,3378,1290
153488,148211,13092,26723,13603,6473,3867,1726
284862,28344,25077,6479,10996,7417,2578,3072
512946,46732,4143,3958,2772,1165,1151,976
253646,225318,15131,24381,9824,14935,5711,2484
90963,137301,81274,38298,5088,13628,4578,3402
153339,22322,9630,2425,4574,2664,1154,456
21390,32459,15238,6594,12645,4356,1320,865
600904,63906,16926,6412,15805,6268,2787,3895
115306,34459,12173,9941,20542,9126,5038,2205
75114,26152,14412,33005,9692,11870,3944,4004
711651,62524,2149,13912,28177,17200,8188,3775
92624,17264,4763,7828,13007,17155,5939,4610
96549,56140,10319,5242,1663,7024,1921,1011
1767947,101042,109177,77111,12780,11151,8823,3966
22521,20298,4742,14945,5582,2606,2511,1709
23681,20346,19018,13607,8510,8935,2545,3013
25816,25114,45216,8561,9368,13555,2630,2542
87150,10776,714,1351,780,420,220,146
79896,13386,13179,10654,3217,5852,2776,1705
1019239,235300,15755,19288,29384,58119,42522,8956
707105,89562,16852,60483,94826,28472,23401,9284
801517,695724,86214,88106,34334,42264,16413,17545
193815,77115,46216,21956,19266,4241,6038,1178
965547,81659,9507,12661,5413,4457,1658,1043
168182,159728,15305,13238,8024,6384,6302,2186
413721,67455,52835,60664,63084,9032,17672,9426
97706,23573,2745,3314,4756,3582,1885,1657
14216,24804,24074,8824,19081,11792,6336,3986
35290,22273,53849,18617,11070,8734,3567,3159
99723,97021,68116,13000,35833,10716,9327,5579
339820,14900,3383,7488,3529,2658,577,393
196884,50140,9426,6252,8053,3026,2303,4266
610011,112275,23077,19405,4029,8197,8200,4441
32432,59601,7885,7707,18524,3805,2524,1740
155647,41583,7439,73862,48845,4536,3273,3477
522510,156504,5288,3800,5786,5147,1071,904
21761,39592,32688,17770,12155,7511,3953,2802
5327,32038,51162,3141,4882,7232,1742,2601
23298,43774,49807,6463,9130,2828,1704,3244
20807,24333,8496,16293,10015,6434,1121,883
114376,21579,7248,5911,4559,3639,831,1113
60847,56581,99792,14941,24308,6831,2558,3819
61941,74112,8529,37468,5029,4988,3582,1746
270205,22749,57013,24789,25323,6413,3220,2989
270532,25642,7492,9393,3400,3980,621,384
38558,99236,14881,11769,22553,11650,1499,877
197698,86880,34298,27510,29516,13945,5644,14265
48806,105715,13824,4356,19081,7319,5318,4664
108541,27152,17958,13998,14410,3492,2769,2201
1293346,215033,45231,33778,19462,20132,5265,3380
24050,12462,17725,7040,8229,5237,5222,3209
68553,66898,52863,8483,3496,7000,2207,4153
812231,762442,78620,35843,32985,17947,4603,1823
88553,57994,49656,23997,6161,12800,4706,1626
108994,142609,4396,3866,7603,8554,5096,9317
60135,59592,23016,17738,18788,11138,2683,1582
23270,13445,13855,1383,9640,10030,3935,2822
31695,19194,22203,9450,12942,5863,5657,3040
175103,57872,5608,1086,3244,4390,588,1191
20652,25553,15531,7635,5341,12772,1642,2502
82038,72486,54456,16952,6514,3488,3402,3793
151012,27234,5919,11183,6512,2769,1287,715
749405,592592,3940,14204,30191,10927,5342,4195
90126,53600,19772,9789,6483,4399,5893,2831
74675,31132,730,3582,3671,2762,1852,2155
266869,63128,2490,10431,3854,4692,2415,3807
138871,65806,4660,8273,2881,2866,3376,3926
1259284,218688,39631,11814,14543,13618,11835,7127
49929,22185,4854,17050,11883,7091,1102,1212
75825,40258,14312,8917,4050,2836,2031,1556
680814,235795,34431,25204,13107,17331,5683,3037
71809,150848,9800,8732,11053,9431,2638,2275
301618,270453,18683,5564,9430,6763,1748,1342
222577,26668,2590,6996,6632,1515,1364,920
176394,121614,20202,5856,15156,7469,3846,6894
28260,32595,22329,10979,14421,4282,2184,4048
889491,243429,8453,23415,19472,25845,4055,3636
269224,111114,53653,46496,19121,4734,10719,5252
132575,191089,57198,43291,10566,15819,5821,2261
130734,61126,49077,31867,51886,11250,4297,2587
63812,19761,14070,13081,6564,5603,3141,1004
1069343,150448,66361,54457,94192,29499,4647,7226
164280,32193,36290,23298,15205,19820,14481,5418
566562,39035,4247,10731,6537,2472,1112,637
360035,137267,16477,4616,3679,8699,16020,11192
1415572,312086,76925,63646,45514,14096,11964,19223
233035,48149,17205,3350,4268,3882,3905,5374
208815,162668,60373,82850,67607,16952,11511,17619
704569,102892,19730,15065,8602,30179,8070,3187
14426,71929,27108,23538,8296,5896,3026,1642
49007,96231,12892,13154,7240,4791,2230,3129
177675,184372,29867,5057,23282,17041,7723,2439
151452,21206,1333,3413,5374,1877,1221,807
188556,10224,10382,6053,3793,2161,1419,1270
14193,52802,61595,12519,24196,6093,9215,2582
261204,42399,2682,12057,1376,2798,1024,791
1254695,103257,22860,27236,49617,11894,16051,5278
133852,32365,7180,14861,4335,7081,4131,2887
28157,7510,5627,5601,23248,7324,1017,1580
84888,344985,41216,16208,29165,7584,1926,2817
77819,29364,9505,4469,15634,8364,3609,2988
24736,7299,2261,4686,2115,3736,3134,1822
10058,30326,20902,4840,3985,6349,2242,3744
74134,8000,13263,5993,2990,2881,5033,1241
252588,27310,9370,3222,3415,2732,1058,848
63390,13782,1282,525,549,1213,214,117
45875,20026,22530,9512,10588,6839,2978,1694
132999,65679,17966,14527,15275,9893,2066,2237
1286764,28556,18741,10009,12972,2493,1301,706
11416,11012,3763,3866,6459,3705,2901,763
488912,54587,40907,12271,4298,5962,1821,1636
614475,33424,33399,8052,7275,6225,4340,2600
81276,17983,53821,9285,8185,3057,1509,1058
19865,15721,32327,14719,4856,3924,4665,2061
126977,36342,12688,26227,13943,5771,2541,5074
53891,39240,47383,20667,10391,5771,2965,1789
141377,102956,35780,10624,17538,6846,3104,2205
92265,41880,32095,13706,11823,6921,2341,4330
8008,30671,4882,6635,5552,4551,2650,2388
20377,38998,5306,6317,4410,13447,2250,4004
18980,10087,4247,8554,8135,14897,6784,3852
313274,50734,6919,4583,6412,1963,478,485
351529,121849,17118,20877,12452,13990,23926,5996
45051,85379,4104,27950,19745,10413,5126,2952
605088,47859,31519,9530,25727,21494,10426,4988
47520,33373,21989,19986,10263,4404,4295,1556
197362,172326,65137,6310,9440,4590,3436,4512
63072,63448,13272,2265,7028,11526,2710,3028
58063,103795,75739,39299,35478,11265,4398,3450
17456,19752,2017,7644,8197,7848,3129,3324
106061,38103,18841,21169,7515,13099,11685,7617
31729,67961,5816,17316,2668,19553,7860,4128
61565,43296,2991,8391,4653,7874,3952,4594
125622,43794,14436,7688,10198,3586,1877,3458
635257,19233,14393,16029,9066,8006,17841,5386
240708,27060,2793,4596,1677,4984,4207,3524
1445648,328145,28265,16561,35599,10867,3296,12070
210206,82771,49939,35391,43234,22796,4814,2059
650384,375787,104172,90032,20407,8114,15115,3576
47697,54017,16449,8731,22860,7092,4600,3262
17592,91745,19807,7785,4040,2956,4298,1292
93007,43849,9820,7939,3985,2846,1533,1681
229731,355560,15891,29358,60181,8341,12700,4411
1465385,400506,42830,19820,24688,19022,6920,4969
51447,263067,5216,5174,12844,6633,5065,6414
29282,44162,16923,4602,15900,11187,11339,7979
39921,40060,15117,5520,6335,9133,4743,4943
229942,84902,25788,11892,7181,2514,4482,2704
309589,51976,2364,775,6017,4623,1750,1277
37966,36829,6343,6592,11127,11628,6931,2012
27245,83643,59602,4609,4484,8793,3996,8167
293368,83184,15464,22406,6137,4543,3667,2196
66529,63522,41134,26477,8739,5265,2921,3732
25102,24401,6773,12806,16630,9086,4619,2440
178361,99119,27401,13406,35828,24120,7829,8318
103370,37411,49378,24175,9261,34660,6003,4063
120837,57603,4217,6396,10672,16857,12163,13369
269312,38681,4537,4898,2378,849,617,400
440296,87509,20195,6186,8415,4212,3777,2875
29164,22393,35068,4156,4863,3754,6220,3060
142675,44925,3281,9438,3547,2390,3122,940
243301,118736,2047,6413,4320,3249,1483,870
252063,202367,78565,10443,17571,6642,5428,4027
170034,8441,1240,630,367,666,339,178
182576,26107,6371,10470,3694,2242,1469,809
513831,52020,1255,5169,6844,7687,2346,1069
16867,43514,3088,1454,8253,6053,3647,6073
393507,75753,19813,8523,4634,3566,4352,2498
40044,27123,18616,12563,18546,18798,3688,5181
371868,24605,10520,33473,7202,22115,6883,9001
106858,7181,9580,5870,3210,4874,2422,4304
19959,62711,10256,6263,7839,18776,14126,8468
798013,50102,24836,35725,6422,16110,11143,6071
149684,49484,1626,19166,18537,18009,10669,3370
15629,4925,54577,4246,9478,3485,2803,1383
21801,19976,25797,14419,16418,11086,2093,3995
57296,41244,30377,16602,16797,5537,8162,4782
268661,51340,54248,11752,10948,12663,2170,3067
31111,22760,10342,12944,6122,6611,2313,3634
108081,39408,42409,7496,14201,6093,4409,3893
106017,83633,45719,2957,3424,3982,789,849
1418625,65522,27818,13796,6639,3962,1769,2253
6882,20491,123359,9399,3667,9823,4327,1756
182322,42911,1371,6271,8344,6588,839,675
69435,123777,45856,16773,28087,13775,7380,4287
5015,18099,17842,5728,6842,6381,2340,1894
49025,3999,13759,2060,6142,2884,2665,1674
652861,110698,71354,23363,25707,8794,5616,5350
22565,19618,59310,6309,7565,11120,5720,4823
46337,42309,20381,11526,13133,14612,4764,4865
94680,61824,8977,14459,11509,10620,3974,3083
198437,116264,22083,22571,18096,12763,8248,4493
971225,237486,40162,35136,30911,11241,19109,5277
112889,37464,1422,11995,2612,1633,992,1588
21062,36626,28717,11929,8855,13622,1566,1822
26837,22154,18367,13354,2474,8979,3402,897
7855,11707,26294,7906,11127,4859,1559,1338
55189,25666,11832,2430,8824,4788,5439,2812
118214,62802,34035,24028,7588,3239,2361,1819
